지점,지점명,일시,기온(°C),기온 QC플래그,강수량(mm),강수량 QC플래그,풍속(m/s),풍속 QC플래그,풍향(16방위),풍향 QC플래그,습도(%),습도 QC플래그,증기압(hPa),이슬점온도(°C),일조(hr),일조 QC플래그,일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),지면온도(°C),지면온도 QC플래그,5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
108,서울,2019-10-23 16:00,20.2,,,,3,,70,,46,,10.8,8.1,0,,.65,,,9,0,Ci,,22.7,,20.2,18.9,17.8,18.4
108,서울,2019-10-23 17:00,19.6,,,,2,,70,,51,,11.6,9.1,0,,.28,,,9,0,Ci,,19.8,,19.7,19,18,18.5
108,서울,2019-10-23 18:00,18.6,,,,2.1,,50,,55,,11.7,9.3,0,,.07,,,9,0,Ci,,16.6,,19.1,19,18.2,18.6
108,서울,2019-10-23 19:00,17.8,,,,2.1,,50,,58,,11.8,9.4,,9,,,,8,8,,52,15.5,,18.3,18.8,18.1,18.6
108,서울,2019-10-23 20:00,17.1,,,,1.7,,50,,60,,11.6,9.2,,9,,,,8,8,,,14,,17.7,18.5,18.2,18.7
108,서울,2019-10-23 21:00,16.8,,,,2.8,,70,,60,,11.4,8.9,,9,,,,8,2,ScCi,19,14.4,,17.2,18.2,18.2,18.7
108,서울,2019-10-23 22:00,17,,,,3.1,,70,,59,,11.4,8.9,,9,,,,9,0,,,14.7,,17,18,18.1,18.8
108,서울,2019-10-23 23:00,16.7,,,,2.7,,70,,55,,10.4,7.6,,9,,,,7,5,,47,13.7,,16.9,17.8,18.1,18.8
108,서울,2019-10-24 00:00,16.1,,,,2.9,,90,,55,,10,7,,9,,,,4,0,Ci,,12.5,,16.5,17.6,18,18.8
108,서울,2019-10-24 01:00,15.6,,,,2.7,,70,,58,,10.2,7.3,,9,,,,8,3,,,12.2,,16.2,17.4,17.9,18.8
108,서울,2019-10-24 02:00,15.4,,,,1.3,,50,,60,,10.4,7.6,,9,,,,9,7,,29,13,,16,17.3,17.8,18.8
108,서울,2019-10-24 03:00,15.4,,,,2.3,,70,,59,,10.3,7.4,,9,,,,9,9,Ac,30,13.1,,15.8,17,17.7,18.7
108,서울,2019-10-24 04:00,15.5,,,,1.8,,90,,59,,10.4,7.5,,9,,,,8,8,Ac,35,12.5,,15.8,17,17.6,18.6
108,서울,2019-10-24 05:00,15.8,,,,2,,70,,57,,10.2,7.2,,9,,,,9,9,Ac,30,14,,15.6,16.8,17.5,18.5
108,서울,2019-10-24 06:00,15.6,,,,2.3,,70,,56,,9.9,6.8,,9,,,,4,4,Ac,32,12.2,,15.6,16.7,17.4,18.5
108,서울,2019-10-24 07:00,15.3,,,,1.9,,70,,55,,9.5,6.2,0,,0,,,8,8,Ac,29,12.3,,15.4,16.6,17.3,18.5
108,서울,2019-10-24 08:00,15.9,,,,2.5,,90,,52,,9.3,6,0,,.07,,,9,9,Ac,29,15.3,,15.5,16.6,17.3,18.5
108,서울,2019-10-24 09:00,17.1,,,,2.6,,70,,51,,9.9,6.8,0,,.42,,,8,8,Ac,30,18.6,,16.1,16.6,17.2,18.4
108,서울,2019-10-24 10:00,17.8,,,,2.3,,70,,52,,10.6,7.8,0,,.55,,,9,9,Ac,44,19.7,,16.6,16.7,17.1,18.3
108,서울,2019-10-24 11:00,19.6,,,,2.4,,50,,51,,11.6,9.1,.5,,1.18,,,8,8,Ac,45,28,,17.5,16.8,17.1,18.3
108,서울,2019-10-24 12:00,20.9,,,,3.8,,70,,45,,11.1,8.5,1,,1.57,,,7,7,Ac,44,28.8,,18.8,17.3,17.1,18.2
108,서울,2019-10-24 13:00,22.4,,,,4.4,,90,,37,,9.9,6.9,1,,2.24,,,2,2,Ac,45,34,,20.2,18,17.3,18.3
108,서울,2019-10-24 14:00,23.2,,,,3.3,,70,,36,,10.2,7.2,1,,2.1,,,0,0,,,33.4,,21.2,18.6,17.4,18.2
108,서울,2019-10-24 15:00,23.5,,,,2.7,,90,,34,,9.8,6.7,1,,1.69,,,0,0,,,31.2,,21.7,19.2,17.6,18.3
108,서울,2019-10-24 16:00,23,,,,3,,70,,35,,9.8,6.7,1,,1.19,,,2,2,Ac,40,28,,21.7,19.7,17.9,18.5
108,서울,2019-10-24 17:00,22.1,,,,2.7,,50,,38,,10.1,7.1,1,,.49,,,6,6,Ac,33,21,,20.9,19.7,18.1,18.6
108,서울,2019-10-24 18:00,20.5,,,,3.1,,70,,38,,9.1,5.6,.1,,.06,,,6,6,Ac,38,17.6,,19.9,19.6,18.3,18.7
108,서울,2019-10-24 19:00,19.7,,,,1.6,,50,,40,,9.2,5.7,,9,,,,7,7,,24,17.5,,19.1,19.3,18.4,18.8
108,서울,2019-10-24 20:00,18.7,,,,2.5,,50,,47,,10.1,7.1,,9,,,,7,6,,27,15.6,,18.5,19,18.4,18.9
108,서울,2019-10-24 21:00,17.7,,,,2.6,,70,,48,,9.7,6.5,,9,,,,0,0,,,14.5,,17.8,18.7,18.3,19
108,서울,2019-10-24 22:00,17.1,,,,3.4,,70,,49,,9.5,6.2,,9,,,,5,0,,,14,,17.3,18.4,18.3,19
108,서울,2019-10-24 23:00,16.5,,,,2.9,,70,,46,,8.6,4.8,,9,,,,3,0,,,13.4,,16.8,18.1,18.2,19
108,서울,2019-10-25 00:00,15.6,,,,2.1,,70,,50,,8.8,5.1,,9,,,,2,2,Ac,32,12.5,,16.4,17.8,18.1,18.9
108,서울,2019-10-25 01:00,15,,,,1.5,,70,,53,,9,5.4,,9,,,,4,0,,,12,,15.9,17.5,18,18.9
108,서울,2019-10-25 02:00,14.3,,,,1.8,,70,,56,,9.1,5.6,,9,,,,0,0,,,11.3,,15.4,17.2,17.9,18.9
108,서울,2019-10-25 03:00,14,,,,1.3,,70,,58,,9.2,5.8,,9,,,,2,0,Ci,,11.2,,15.1,16.9,17.7,18.8
108,서울,2019-10-25 04:00,13.6,,,,.6,,70,,63,,9.7,6.6,,9,,,,2,2,Sc,19,10.6,,14.8,16.7,17.6,18.7
108,서울,2019-10-25 05:00,13.6,,,,1.4,,70,,60,,9.3,5.9,,9,,,,3,3,Sc,19,11.2,,14.7,16.5,17.5,18.6
108,서울,2019-10-25 06:00,13.6,,,,.7,,50,,61,,9.5,6.2,,9,,,,9,9,Sc,19,12.6,,14.6,16.3,17.3,18.5
108,서울,2019-10-25 07:00,14.1,,,,.4,,0,,60,,9.6,6.4,0,,0,,,8,8,Sc,19,13.3,,14.8,16.2,17.2,18.4
108,서울,2019-10-25 08:00,14.2,,,,2.2,,70,,57,,9.2,5.7,.2,,.19,,,1,1,Sc,19,12.5,,14.9,16.1,17.1,18.3
108,서울,2019-10-25 09:00,16.1,,,,.7,,70,,47,,8.5,4.7,1,,.92,,,1,0,Ci,,14.7,,15.4,16,17,18.2
108,서울,2019-10-25 10:00,19,,,,2.2,,90,,42,,9.2,5.7,1,,1.55,,,1,0,Ci,,19,,16.9,16.3,16.9,18.1
108,서울,2019-10-25 11:00,20.7,,,,1.6,,250,,39,,9.5,6.2,1,,1.98,,,3,0,Ci,,24.9,,18.5,16.8,16.9,18
108,서울,2019-10-25 12:00,21.3,,,,3.3,,270,,37,,9.3,6,1,,1.71,,,6,0,Ci,,29.6,,19.5,17.5,17,18
108,서울,2019-10-25 13:00,21.3,,,,2.4,,320,,38,,9.5,6.3,1,,2.11,,,8,0,Ci,,30,,20.8,18.2,17.1,18.1
108,서울,2019-10-25 14:00,21.7,,,,3,,320,,38,,9.8,6.7,1,,1.64,,,8,0,Ci,,29.8,,21.3,18.8,17.4,18.1
108,서울,2019-10-25 15:00,21.3,,,,3,,290,,43,,10.9,8.2,.7,,1.18,,,9,3,AcCi,35,26.3,,21.4,19.3,17.6,18.2
108,서울,2019-10-25 16:00,20.3,,,,2.3,,270,,44,,10.4,7.6,0,,.64,,,8,0,Ci,,23.3,,20.9,19.5,17.9,18.4
108,서울,2019-10-25 17:00,19,,,,3.5,,290,,51,,11.2,8.6,.2,,.34,,,9,1,AcCi,35,19.5,,20.2,19.5,18.1,18.5
108,서울,2019-10-25 18:00,17.7,,,,3,,290,,66,,13.3,11.2,0,,.03,,,8,8,As,22,17.3,,19.3,19.3,18.2,18.7
108,서울,2019-10-25 19:00,17.5,,,,3,,270,,68,,13.6,11.5,,9,,,,9,3,,8,17.4,,18.7,19.1,18.3,18.8
108,서울,2019-10-25 20:00,17.4,,0,,3.1,,270,,77,,15.3,13.3,,9,,,,10,7,StNs,5,16.8,,18.4,18.8,18.3,18.8
108,서울,2019-10-25 21:00,16.2,,0,,4.5,,270,,77,,14.1,12.1,,9,,,,10,6,ScAs,10,16.4,,18.1,18.7,18.3,18.9
108,서울,2019-10-25 22:00,15.4,,,9,3.5,,290,,77,,13.4,11.3,,9,,,,9,9,,4,16.1,,17.8,18.5,18.2,18.9
108,서울,2019-10-25 23:00,14.4,,,9,3.2,,290,,72,,11.8,9.4,,9,,,,7,7,,6,15.1,,17.5,18.3,18.2,18.9
108,서울,2019-10-26 00:00,13.1,,,9,4.8,,270,,75,,11.2,8.7,,9,,,,8,8,,,13.6,,17,18.1,18.2,18.9
108,서울,2019-10-26 01:00,12,,,,4.8,,270,,73,,10.2,7.3,,9,,,,6,3,,6,12.5,,16.4,17.8,18.1,18.9
108,서울,2019-10-26 02:00,11.2,,,,4.9,,320,,67,,8.8,5.2,,9,,,,9,7,,6,12.1,,15.9,17.5,18,18.8
108,서울,2019-10-26 03:00,9.9,,,,2.7,,320,,69,,8.4,4.4,,9,,,,0,0,,,9.8,,15.3,17.2,17.8,18.8
108,서울,2019-10-26 04:00,8.6,,,,3.6,,320,,69,,7.7,3.2,,9,,,,7,7,Sc,11,8.9,,14.5,16.8,17.7,18.7
108,서울,2019-10-26 05:00,7.7,,,,2.6,,320,,70,,7.3,2.5,,9,,,,2,2,Sc,13,8,,13.9,16.5,17.6,18.7
108,서울,2019-10-26 06:00,6.9,,,,1.8,,360,,73,,7.2,2.3,,9,,,,2,2,Sc,13,7.3,,13.4,16.1,17.4,18.6
108,서울,2019-10-26 07:00,6.7,,,,3.4,,340,,71,,7,1.8,0,,0,,,3,1,ScCi,13,7.1,,12.8,15.7,17.2,18.4
108,서울,2019-10-26 08:00,6.8,,,,2,,270,,68,,6.7,1.2,.5,,.24,,,2,0,Ci,,8,,12.6,15.4,17,18.3
108,서울,2019-10-26 09:00,8.6,,,,2.8,,290,,57,,6.3,.5,1,,.92,,,4,1,ScCi,8,10.5,,13,15.1,16.8,18.2
108,서울,2019-10-26 10:00,9.8,,,,2.6,,340,,55,,6.6,1.1,1,,1.42,,,7,7,Sc,8,14.2,,14.4,15.2,16.7,18.1
108,서울,2019-10-26 11:00,10.9,,,,2.6,,290,,51,,6.6,1.1,.7,,1.37,,,5,5,Sc,10,18.3,,15.3,15.5,16.6,17.9
108,서울,2019-10-26 12:00,13.2,,,,3.2,,270,,45,,6.8,1.5,1,,2.39,,,2,0,Ci,,24.7,,17.1,16,16.5,17.8
108,서울,2019-10-26 13:00,13.5,,,,1.9,,290,,45,,6.9,1.7,1,,2.22,,,7,0,Ci,,26.5,,18.5,16.7,16.6,17.8
108,서울,2019-10-26 14:00,14.2,,,,4,,270,,45,,7.3,2.4,1,,1.95,,,8,0,Ci,,25.3,,19.3,17.4,16.8,17.8
108,서울,2019-10-26 15:00,13.6,,,,2.7,,270,,45,,7,1.8,.8,,1.11,,,9,0,Ci,,21.9,,19,17.9,17,17.9
108,서울,2019-10-26 16:00,13.9,,,,3.5,,250,,49,,7.7,3.3,.5,,.88,,,5,0,Ci,,19.4,,18.4,18,17.2,18
108,서울,2019-10-26 17:00,12.5,,,,2.5,,270,,53,,7.6,3.1,.9,,.5,,,7,0,Ci,,15.5,,17.7,17.9,17.3,18
108,서울,2019-10-26 18:00,11,,,,2.8,,270,,56,,7.3,2.5,.3,,.08,,,1,0,Ci,,11.7,,16.6,17.7,17.4,18.1
108,서울,2019-10-26 19:00,10.3,,,,.7,,250,,58,,7.2,2.3,,9,,,,3,0,,,9.9,,15.5,17.3,17.4,18.2
108,서울,2019-10-26 20:00,9.6,,,,.7,,290,,63,,7.5,2.8,,9,,,,0,0,,,8.8,,14.5,16.8,17.3,18.2
108,서울,2019-10-26 21:00,9,,,,.7,,340,,67,,7.6,3.1,,9,,,,0,0,,,8,,13.7,16.3,17.2,18.2
108,서울,2019-10-26 22:00,8.9,,,,2,,320,,65,,7.4,2.6,,9,,,,0,0,,,7.8,,13.1,15.9,17.1,18.2
108,서울,2019-10-26 23:00,7.9,,,,1.7,,270,,65,,6.9,1.7,,9,,,,0,0,,,7.2,,12.7,15.5,16.9,18.1
108,서울,2019-10-27 00:00,7.5,,,,2.5,,320,,68,,7,1.9,,9,,,,0,0,,,6.9,,12.3,15.3,16.7,18
108,서울,2019-10-27 01:00,6.7,,,,1.5,,290,,71,,7,1.8,,9,,,,4,0,,,6.1,,11.9,14.9,16.6,17.9
108,서울,2019-10-27 02:00,6.3,,,,1.8,,290,,69,,6.6,1,,9,,,,0,0,,,5.7,,11.5,14.6,16.4,17.8
108,서울,2019-10-27 03:00,5.7,,,,1,,290,,70,,6.4,.6,,9,,,,0,0,,,5.2,,11.1,14.3,16.3,17.7
108,서울,2019-10-27 04:00,5.2,,,,1.1,,290,,73,,6.4,.7,,9,,,,0,0,,,5,,10.6,14,16,17.5
108,서울,2019-10-27 05:00,5.1,,,,.6,,320,,72,,6.3,.4,,9,,,,0,0,,,4.5,,10.3,13.7,15.9,17.4
108,서울,2019-10-27 06:00,5,,,,.2,,0,,73,,6.3,.5,,9,,,,0,0,,,4.4,,10,13.4,15.7,17.3
108,서울,2019-10-27 07:00,4.9,,,,.8,,50,,71,,6.1,0,0,,0,,,0,0,,,4.3,,9.8,13.2,15.5,17.1
108,서울,2019-10-27 08:00,5,,,,1.6,,50,,68,,5.9,-.4,.5,,.27,,,0,0,,,5.6,,9.7,12.9,15.3,16.9
108,서울,2019-10-27 09:00,7.8,,,,1.3,,50,,60,,6.3,.5,1,,.95,,,0,0,,,8.5,,10.6,12.8,15.1,16.8
108,서울,2019-10-27 10:00,11.1,,,,.9,,50,,51,,6.7,1.3,1,,1.55,,,0,0,,,12.9,,12.5,13,15,16.6
108,서울,2019-10-27 11:00,13.5,,,,1.7,,320,,34,,5.3,-2,1,,1.92,,,3,3,Sc,15,18.8,,14.6,13.7,15,16.5
108,서울,2019-10-27 12:00,16.2,,,,3.2,,230,,35,,6.4,.7,1,,2.29,,,2,2,Sc,15,24.6,,16.4,14.5,15,16.5
108,서울,2019-10-27 13:00,16.5,,,,3.4,,290,,36,,6.7,1.3,1,,2.31,,,1,1,Sc,15,27.7,,17.8,15.3,15.1,16.4
108,서울,2019-10-27 14:00,16.6,,,,2.4,,320,,36,,6.8,1.4,1,,1.91,,,2,2,Sc,16,25.7,,18.6,16.1,15.4,16.5
108,서울,2019-10-27 15:00,17.2,,,,2.5,,270,,38,,7.4,2.7,1,,1.55,,,4,4,Sc,15,25.1,,19,16.8,15.7,16.6
108,서울,2019-10-27 16:00,16.6,,,,4,,270,,44,,8.2,4.2,1,,1.01,,,5,5,Sc,14,21.5,,18.8,17.2,16,16.8
108,서울,2019-10-27 17:00,15.8,,,,3.1,,270,,48,,8.5,4.7,1,,.63,,,2,2,Sc,15,17.4,,18.2,17.4,16.2,16.9
108,서울,2019-10-27 18:00,14.1,,,,2.7,,290,,54,,8.7,4.9,.3,,.06,,,0,0,,,13.3,,17,17.3,16.4,17.1
108,서울,2019-10-27 19:00,13,,,,1.5,,290,,60,,9,5.4,,9,,,,0,0,,,11.3,,15.8,16.9,16.5,17.2
108,서울,2019-10-27 20:00,12.3,,,,.9,,290,,61,,8.7,4.9,,9,,,,0,0,,,10.2,,14.9,16.5,16.5,17.3
108,서울,2019-10-27 21:00,11.6,,,,.7,,270,,68,,9.2,5.8,,9,,,,0,0,,,9.2,,14.1,16.1,16.5,17.3
108,서울,2019-10-27 22:00,11,,,,.7,,360,,69,,9,5.5,,9,,,,0,0,,,8.8,,13.5,15.7,16.4,17.3
108,서울,2019-10-27 23:00,10.7,,,,.7,,320,,71,,9.1,5.6,,9,,,,0,0,,,8.5,,13,15.4,16.3,17.3
108,서울,2019-10-28 00:00,10,,,,1.3,,50,,74,,9,5.5,,9,,,,1,1,Sc,10,8.1,,12.7,15,16.2,17.2
108,서울,2019-10-28 01:00,9.5,,,,1.1,,50,,74,,8.7,5,,9,,,,6,6,,12,8.5,,12.5,14.8,16,17.2
108,서울,2019-10-28 02:00,9,,,,1.6,,50,,78,,8.9,5.3,,9,,,,5,3,,13,7.7,,12.1,14.6,15.9,17.1
108,서울,2019-10-28 03:00,8.4,,,,1.6,,50,,79,,8.7,4.9,,9,,,,0,0,,,7.2,,11.8,14.3,15.8,17
108,서울,2019-10-28 04:00,8,,,,1.5,,50,,81,,8.7,4.9,,9,,,,0,0,,,6.9,,11.4,14,15.7,16.9
108,서울,2019-10-28 05:00,7.7,,,,1.6,,50,,83,,8.7,4.9,,9,,,,1,1,Sc,10,6.7,,11.1,13.8,15.5,16.8
108,서울,2019-10-28 06:00,7.4,,,,1.7,,50,,83,,8.5,4.6,,9,,,,3,3,Sc,12,6.9,,10.9,13.6,15.4,16.7
108,서울,2019-10-28 07:00,7.6,,,,1.8,,70,,82,,8.5,4.7,0,,0,,,3,3,Sc,12,7.1,,10.9,13.4,15.3,16.7
108,서울,2019-10-28 08:00,8.3,,,,2.1,,50,,76,,8.3,4.3,.5,,.24,,,2,0,Ci,,8.1,,10.9,13.3,15.1,16.5
108,서울,2019-10-28 09:00,10.1,,,,2.5,,70,,66,,8.1,4,1,,.84,,,1,0,Ci,,10.4,,11.6,13.2,14.9,16.4
108,서울,2019-10-28 10:00,13,,,,1.7,,90,,56,,8.4,4.4,1,,1.48,,,1,0,Ci,,14.2,,13.2,13.4,14.8,16.3
108,서울,2019-10-28 11:00,15.8,,,,3.4,,160,,47,,8.4,4.4,1,,1.97,,,6,0,Ci,,20.3,,15.1,14,14.8,16.2
108,서울,2019-10-28 12:00,16.7,,,,4,,200,,41,,7.7,3.3,1,,2.01,,,7,1,ScCi,14,23.7,,16.7,14.7,14.9,16.2
108,서울,2019-10-28 13:00,17.6,,,,4.4,,200,,44,,8.8,5.1,1,,2.18,,,8,3,ScCi,15,26.6,,18,15.5,15.1,16.2
108,서울,2019-10-28 14:00,17.6,,,,2.7,,200,,44,,8.8,5.1,1,,1.46,,,9,4,ScCi,14,24.7,,18.5,16.2,15.3,16.3
108,서울,2019-10-28 15:00,17,,,,3.3,,200,,46,,8.8,5.2,.5,,.82,,,9,8,ScCi,15,20.5,,18.5,16.7,15.5,16.4
108,서울,2019-10-28 16:00,16.7,,,,3.3,,180,,46,,8.7,5,.2,,.4,,,9,4,ScCi,14,19.7,,17.8,16.9,15.8,16.5
108,서울,2019-10-28 17:00,16.3,,,,3.9,,200,,49,,9,5.5,.1,,.2,,,9,7,ScCi,12,17.2,,17.3,16.8,16,16.6
108,서울,2019-10-28 18:00,15.8,,,,3.5,,200,,55,,9.8,6.7,0,,.02,,,6,6,Sc,11,15.4,,16.8,16.8,16.1,16.8
108,서울,2019-10-28 19:00,15.1,,,,3.4,,230,,60,,10.2,7.3,,9,,,,8,2,,14,13.3,,16.1,16.6,16.2,16.9
108,서울,2019-10-28 20:00,14.8,,,,3,,200,,63,,10.6,7.8,,9,,,,7,7,,8,13.1,,15.6,16.4,16.3,17
108,서울,2019-10-28 21:00,14.7,,0,,3.6,,200,,68,,11.3,8.8,,9,,,,9,6,ScAs,8,13.7,,15.3,16.2,16.3,17
108,서울,2019-10-28 22:00,14,,1.1,,3.4,,200,,83,,13.2,11.1,,9,,,,8,8,Sc,6,13.1,,15.2,16,16.2,17
108,서울,2019-10-28 23:00,13.4,,.2,,3.8,,270,,85,,13,10.9,,9,,,,10,6,ScAs,7,13.1,,15,16,16.2,17.1
108,서울,2019-10-29 00:00,13.1,,.4,,1.6,,250,,89,,13.4,11.3,,9,,,,10,7,,,13.2,,14.8,15.8,16.2,17.1
108,서울,2019-10-29 01:00,13,,.1,,1.9,,270,,92,,13.7,11.7,,9,,,,10,8,ScAs,15,13,,14.6,15.6,16,17
108,서울,2019-10-29 02:00,12.7,,,9,2,,270,,86,,12.6,10.4,,9,,,,0,0,,,11.9,,14.4,15.5,16,17
108,서울,2019-10-29 03:00,12.1,,,9,2.3,,270,,84,,11.8,9.4,,9,,,,1,1,Sc,15,10.8,,13.9,15.3,16,16.9
108,서울,2019-10-29 04:00,11.4,,,9,1,,270,,83,,11.2,8.6,,9,,,,1,1,Sc,11,9.8,,13.3,15.1,15.9,16.9
108,서울,2019-10-29 05:00,10.7,,,9,1.1,,270,,86,,11,8.4,,9,,,,0,0,,,8.9,,12.6,14.8,15.8,16.9
108,서울,2019-10-29 06:00,10.1,,,9,.9,,290,,93,,11.5,9,,9,,,,3,3,Sc,13,8.7,,12.1,14.5,15.7,16.8
108,서울,2019-10-29 07:00,9.9,,,9,.7,,270,,92,,11.2,8.6,0,,0,,,1,1,Sc,14,8.4,,11.8,14.2,15.6,16.7
108,서울,2019-10-29 08:00,9.9,,,9,.8,,250,,78,,9.5,6.2,.3,,.2,,,0,0,,,9.1,,11.7,13.9,15.5,16.6
108,서울,2019-10-29 09:00,11.7,,,9,.7,,290,,62,,8.5,4.6,1,,.79,,,0,0,,,11.3,,12.5,13.8,15.3,16.6
108,서울,2019-10-29 10:00,14.7,,,9,2.1,,270,,49,,8.1,4,1,,1.4,,,2,2,Sc,15,14.3,,14.3,14,15.1,16.4
108,서울,2019-10-29 11:00,15.9,,,9,3.9,,340,,47,,8.4,4.5,1,,1.84,,,1,1,Sc,15,17.4,,16,14.6,15.1,16.4
108,서울,2019-10-29 12:00,16.9,,,9,4.1,,290,,44,,8.4,4.5,1,,2.12,,,3,3,Sc,14,20.6,,17.4,15.3,15.2,16.4
108,서울,2019-10-29 13:00,17.6,,,9,2.8,,290,,37,,7.4,2.7,1,,2.07,,,6,6,Sc,14,23.4,,18.2,16,15.4,16.3
108,서울,2019-10-29 14:00,16.9,,,9,4.4,,270,,35,,6.7,1.3,.8,,1.25,,,6,6,Sc,17,19.5,,18.1,16.6,15.6,16.4
108,서울,2019-10-29 15:00,16.7,,,9,5,,290,,37,,7,1.9,.7,,1,,,6,6,Sc,18,18.9,,17.6,16.8,15.8,16.5
108,서울,2019-10-29 16:00,16.7,,,9,5.1,,270,,34,,6.4,.7,1,,1.2,,,2,2,Sc,18,17.8,,17.7,16.8,16,16.7
108,서울,2019-10-29 17:00,15.3,,,9,3.4,,270,,42,,7.3,2.4,1,,.49,,,1,1,Sc,18,14.2,,16.6,16.8,16.1,16.8
108,서울,2019-10-29 18:00,13.8,,,9,2.4,,270,,48,,7.5,2.9,.2,,.05,,,0,0,,,11.9,,15.4,16.5,16.2,16.9
108,서울,2019-10-29 19:00,12.9,,,9,1.5,,340,,51,,7.5,2.9,,9,,,,0,0,,,10.7,,14.5,16.1,16.2,17
108,서울,2019-10-29 20:00,11.7,,,9,3.3,,340,,51,,7,1.8,,9,,,,0,0,,,9.7,,13.6,15.6,16.2,16.9
108,서울,2019-10-29 21:00,10.6,,,9,2,,320,,55,,7,1.9,,9,,,,0,0,,,8.7,,12.9,15.2,16,17
108,서울,2019-10-29 22:00,9.9,,,9,3,,320,,54,,6.6,1,,9,,,,0,0,,,8,,12.3,14.8,16,16.9
108,서울,2019-10-29 23:00,8.9,,,9,1.6,,290,,61,,6.9,1.7,,9,,,,0,0,,,7.3,,11.7,14.5,15.8,16.9
108,서울,2019-10-30 00:00,8.2,,,9,1.9,,290,,65,,7.1,2,,9,,,,0,0,,,6.8,,11.1,14,15.6,16.8
108,서울,2019-10-30 01:00,8,,,,2.6,,320,,64,,6.8,1.5,,9,,,,0,0,,,6.5,,10.8,13.7,15.5,16.7
108,서울,2019-10-30 02:00,7,,,,1.6,,270,,67,,6.7,1.2,,9,,,,0,0,,,5.7,,10.3,13.4,15.3,16.6
108,서울,2019-10-30 03:00,6.6,,,,.7,,360,,69,,6.7,1.3,,9,,,,0,0,,,5.2,,9.9,13.1,15.1,16.4
108,서울,2019-10-30 04:00,6.1,,,,.5,,320,,74,,7,1.8,,9,,,,0,0,,,4.7,,9.4,12.7,14.9,16.3
108,서울,2019-10-30 05:00,5.7,,,,.6,,20,,74,,6.8,1.4,,9,,,,0,0,,,4.4,,9,12.4,14.7,16.2
108,서울,2019-10-30 06:00,5.5,,,,1,,360,,74,,6.7,1.2,,9,,,,0,0,,,4.2,,8.8,12.2,14.6,16.1
