瘤痢,瘤痢疙,老矫,扁柯(∑C),浅氢(deg),浅加(m/s),碍荐樊(mm),泅瘤扁拘(hPa),秦搁扁拘(hPa),嚼档(%)
571,拳己,2018-11-06 23:00,11.2,0,.4,0,,,85
571,拳己,2018-11-07 00:00,12.5,345.4,.7,0,,,79.1
571,拳己,2018-11-07 01:00,12.5,350.7,1.5,0,,,76.6
571,拳己,2018-11-07 02:00,12.2,17.2,.8,0,,,77.4
571,拳己,2018-11-07 03:00,11.6,0,.4,0,,,84.3
571,拳己,2018-11-07 04:00,11.4,39.7,1.1,.5,,,85.4
571,拳己,2018-11-07 05:00,11.1,0,.4,.5,,,88.9
571,拳己,2018-11-07 06:00,10.9,0,0,0,,,92.8
571,拳己,2018-11-07 07:00,10.8,0,.3,0,,,93.9
571,拳己,2018-11-07 08:00,11.2,227,.7,0,,,94.1
571,拳己,2018-11-07 09:00,12,316.3,.5,0,,,92.1
571,拳己,2018-11-07 10:00,12.9,25.9,.5,0,,,82.4
571,拳己,2018-11-07 11:00,14.7,158.3,1.4,0,,,70.9
571,拳己,2018-11-07 12:00,16.2,178.1,1.5,0,,,64.7
571,拳己,2018-11-07 13:00,16.7,199.8,2,0,,,58
571,拳己,2018-11-07 14:00,17.1,233.2,2,0,,,53.5
571,拳己,2018-11-07 15:00,16.9,183.4,1.7,0,,,51.6
571,拳己,2018-11-07 16:00,15.7,292.4,1,0,,,62.8
571,拳己,2018-11-07 17:00,15.1,0,.2,0,,,66
571,拳己,2018-11-07 18:00,14.6,137.5,.8,0,,,66.9
571,拳己,2018-11-07 19:00,14.3,0,.4,0,,,71.4
571,拳己,2018-11-07 20:00,14.3,0,.4,0,,,71
571,拳己,2018-11-07 21:00,14.4,72.1,.5,0,,,70.7
571,拳己,2018-11-07 22:00,14.2,0,.1,0,,,74.9
571,拳己,2018-11-07 23:00,13.4,0,.1,0,,,81.5
571,拳己,2018-11-08 00:00,13.4,47.4,.6,0,,,83.4
571,拳己,2018-11-08 01:00,13.5,75.9,.8,0,,,81.6
571,拳己,2018-11-08 02:00,13.2,86.2,.9,.5,,,83.2
571,拳己,2018-11-08 03:00,13,75.3,1,0,,,83.7
571,拳己,2018-11-08 04:00,12.7,69.8,1.4,.5,,,85.5
571,拳己,2018-11-08 05:00,12.5,69.8,1.2,1,,,85.8
571,拳己,2018-11-08 06:00,12.5,65,1,0,,,85.4
571,拳己,2018-11-08 07:00,12.5,68.7,1,0,,,85.4
571,拳己,2018-11-08 08:00,12.5,64.8,1.4,1.5,,,86.8
571,拳己,2018-11-08 09:00,12.8,84.4,1.9,1.5,,,86.4
571,拳己,2018-11-08 10:00,12.9,102.7,1.2,1,,,85
571,拳己,2018-11-08 11:00,12.8,84.4,1.9,5.5,,,87.3
571,拳己,2018-11-08 12:00,13.3,100.5,2.2,4,,,86.6
571,拳己,2018-11-08 13:00,13.5,97,2.5,7,,,88.3
571,拳己,2018-11-08 14:00,13.7,110.7,2.9,0,,,86.3
571,拳己,2018-11-08 15:00,14,145.2,2.6,0,,,87
571,拳己,2018-11-08 16:00,14.4,133.7,3.1,1,,,87
571,拳己,2018-11-08 17:00,14.6,148.9,2.9,5.5,,,92.4
571,拳己,2018-11-08 18:00,14.8,173.6,2.7,3,,,94.1
571,拳己,2018-11-08 19:00,15.2,180.6,2.6,3.5,,,94.6
571,拳己,2018-11-08 20:00,15.2,198.7,2.7,4.5,,,94.8
571,拳己,2018-11-08 21:00,14.8,215.2,5.7,2,,,94.1
571,拳己,2018-11-08 22:00,12.9,258,2,11.5,,,93.3
571,拳己,2018-11-08 23:00,12.6,276.3,3.5,9,,,92.4
571,拳己,2018-11-09 00:00,12.3,257.8,2.2,.5,,,81.6
571,拳己,2018-11-09 01:00,12.5,244.1,2.8,0,,,75.8
571,拳己,2018-11-09 02:00,11.9,225.7,3.5,0,,,74.3
571,拳己,2018-11-09 03:00,12,244.9,2.8,0,,,66
571,拳己,2018-11-09 04:00,12.1,260.3,2.9,0,,,64.8
571,拳己,2018-11-09 05:00,12.3,265.7,2.2,0,,,62
571,拳己,2018-11-09 06:00,11.4,271.5,3.6,0,,,68.7
571,拳己,2018-11-09 07:00,12,263.5,1.8,0,,,63.9
571,拳己,2018-11-09 08:00,11.9,275.6,2,0,,,66.1
571,拳己,2018-11-09 09:00,13.3,265.5,2.4,0,,,59.8
571,拳己,2018-11-09 10:00,13.3,273.5,2.4,0,,,57.2
571,拳己,2018-11-09 11:00,14.5,267.8,2.4,0,,,52.6
571,拳己,2018-11-09 12:00,14.1,293.1,2.9,0,,,49.9
571,拳己,2018-11-09 13:00,14.9,285.3,3.1,0,,,50.2
571,拳己,2018-11-09 14:00,15.4,274,3.5,0,,,47.6
571,拳己,2018-11-09 15:00,14.7,271.4,2.9,0,,,52.4
571,拳己,2018-11-09 16:00,14.9,278.1,2.5,0,,,54.4
571,拳己,2018-11-09 17:00,13.4,273.5,1.4,0,,,59.5
571,拳己,2018-11-09 18:00,12.4,281.8,1.8,0,,,63.6
571,拳己,2018-11-09 19:00,11.7,285,.9,0,,,66.9
571,拳己,2018-11-09 20:00,10.9,0,.4,0,,,70.2
571,拳己,2018-11-09 21:00,9.5,0,.3,0,,,76.8
571,拳己,2018-11-09 22:00,8.6,0,.2,0,,,82.1
571,拳己,2018-11-09 23:00,8.5,0,.2,0,,,84.9
571,拳己,2018-11-10 00:00,8.2,0,.3,0,,,85.6
571,拳己,2018-11-10 01:00,8.6,282,.5,0,,,82.6
571,拳己,2018-11-10 02:00,9.3,259.9,.6,0,,,81.3
571,拳己,2018-11-10 03:00,9,260.9,.7,0,,,83
571,拳己,2018-11-10 04:00,9.4,231.3,1.3,0,,,82.2
571,拳己,2018-11-10 05:00,10.3,150.2,.6,0,,,79.7
571,拳己,2018-11-10 06:00,9.7,238.4,.8,0,,,82.7
571,拳己,2018-11-10 07:00,9.1,258.2,1,0,,,84.3
571,拳己,2018-11-10 08:00,9.9,241.2,1.2,0,,,84
571,拳己,2018-11-10 09:00,11.7,204.6,.5,0,,,77.8
571,拳己,2018-11-10 10:00,14,171.4,.8,0,,,69.1
571,拳己,2018-11-10 11:00,15,299.4,1.9,0,,,60.9
571,拳己,2018-11-10 12:00,16.2,326.6,1.2,0,,,54.3
571,拳己,2018-11-10 13:00,15.7,250.9,1,0,,,56.5
571,拳己,2018-11-10 14:00,15.6,271.2,1.1,0,,,57.6
571,拳己,2018-11-10 15:00,15.4,312.3,1.5,0,,,50.5
571,拳己,2018-11-10 16:00,15.3,307.2,1.5,0,,,45.7
571,拳己,2018-11-10 17:00,13.2,271.4,1.1,0,,,56.8
571,拳己,2018-11-10 18:00,11.2,303.4,1,0,,,66.6
571,拳己,2018-11-10 19:00,10.2,20.5,1.2,0,,,71.5
571,拳己,2018-11-10 20:00,9.2,321.4,.6,0,,,76.2
571,拳己,2018-11-10 21:00,8.5,28.1,1,0,,,75.6
571,拳己,2018-11-10 22:00,7.8,0,.2,0,,,81.2
571,拳己,2018-11-10 23:00,7.4,0,.2,0,,,82.1
571,拳己,2018-11-11 00:00,6.8,0,.2,0,,,85
571,拳己,2018-11-11 01:00,7.5,304.4,.7,0,,,85.5
571,拳己,2018-11-11 02:00,7.2,354.4,.6,0,,,87.1
571,拳己,2018-11-11 03:00,6.9,0,.2,0,,,87.9
571,拳己,2018-11-11 04:00,6.5,0,.4,0,,,90.5
571,拳己,2018-11-11 05:00,6.6,0,.3,0,,,92.8
571,拳己,2018-11-11 06:00,6.6,0,.1,0,,,93.3
571,拳己,2018-11-11 07:00,6.4,285.6,.6,0,,,93.3
571,拳己,2018-11-11 08:00,6.2,0,.1,0,,,93.4
571,拳己,2018-11-11 09:00,8.4,206.2,.8,0,,,93.9
571,拳己,2018-11-11 10:00,10.8,237.2,.5,0,,,78.3
571,拳己,2018-11-11 11:00,10.6,215.9,1.2,0,,,75.8
571,拳己,2018-11-11 12:00,10.9,280.8,.8,0,,,71.8
571,拳己,2018-11-11 13:00,11.4,257.7,.6,0,,,71.5
571,拳己,2018-11-11 14:00,11.4,43.6,1.8,0,,,68.7
571,拳己,2018-11-11 15:00,11.1,69.5,.8,0,,,56.7
571,拳己,2018-11-11 16:00,10.5,315.9,1,0,,,58.9
571,拳己,2018-11-11 17:00,10.1,333.6,1.4,0,,,54.3
571,拳己,2018-11-11 18:00,9.1,0,.2,0,,,57
571,拳己,2018-11-11 19:00,9.2,50.4,1.5,0,,,54
571,拳己,2018-11-11 20:00,8.3,0,.3,0,,,58.8
571,拳己,2018-11-11 21:00,7.1,0,.3,0,,,60.1
571,拳己,2018-11-11 22:00,6.7,0,.3,0,,,61.7
571,拳己,2018-11-11 23:00,5.8,0,.1,0,,,65
571,拳己,2018-11-12 00:00,5.3,45.2,.5,0,,,70.4
571,拳己,2018-11-12 01:00,4.8,27.3,.5,0,,,72.9
571,拳己,2018-11-12 02:00,4.8,13.3,.7,0,,,72.4
571,拳己,2018-11-12 03:00,4.4,15.9,.5,0,,,72.8
571,拳己,2018-11-12 04:00,4.9,319.2,.5,0,,,72
571,拳己,2018-11-12 05:00,4.4,0,.4,0,,,71.3
571,拳己,2018-11-12 06:00,4.1,0,.3,0,,,73.1
571,拳己,2018-11-12 07:00,3.9,27.9,.5,0,,,74.8
571,拳己,2018-11-12 08:00,4.8,0,.4,0,,,71.5
571,拳己,2018-11-12 09:00,7.6,331.5,.6,0,,,56.7
571,拳己,2018-11-12 10:00,9.9,62.1,1.5,0,,,46.1
571,拳己,2018-11-12 11:00,10.6,4.4,2,0,,,38.8
571,拳己,2018-11-12 12:00,12.3,70.1,2.5,0,,,32.9
571,拳己,2018-11-12 13:00,13.4,61.9,2,0,,,31
571,拳己,2018-11-12 14:00,13.2,304.3,2.1,0,,,35.9
571,拳己,2018-11-12 15:00,12.9,274.4,2.5,0,,,38
571,拳己,2018-11-12 16:00,12,305.8,1.7,0,,,39.5
571,拳己,2018-11-12 17:00,10.5,268.5,1.3,0,,,48.9
571,拳己,2018-11-12 18:00,8.2,0,.3,0,,,60.6
571,拳己,2018-11-12 19:00,9.3,4.4,.7,0,,,53.5
571,拳己,2018-11-12 20:00,8,0,.1,0,,,56.8
571,拳己,2018-11-12 21:00,7.5,0,.4,0,,,58.2
571,拳己,2018-11-12 22:00,6.9,27.8,1.1,0,,,63
571,拳己,2018-11-12 23:00,6.1,29,.9,0,,,65.1
571,拳己,2018-11-13 00:00,5.7,23.6,1,0,,,65.7
571,拳己,2018-11-13 01:00,5,40.1,.9,0,,,68.4
571,拳己,2018-11-13 02:00,4.5,39.8,1.1,0,,,71
571,拳己,2018-11-13 03:00,3.7,26.6,.6,0,,,75.3
571,拳己,2018-11-13 04:00,3.5,44.1,1.1,0,,,75.6
571,拳己,2018-11-13 05:00,3.4,36,.8,0,,,76.2
571,拳己,2018-11-13 06:00,3.4,37.7,.9,0,,,77.1
571,拳己,2018-11-13 07:00,2.9,43.8,.8,0,,,78.9
571,拳己,2018-11-13 08:00,3.6,38.9,1.1,0,,,77.5
571,拳己,2018-11-13 09:00,7.2,194.7,.5,0,,,63.9
571,拳己,2018-11-13 10:00,10.3,183.5,.9,0,,,54.5
571,拳己,2018-11-13 11:00,12.3,230.4,1,0,,,48.5
571,拳己,2018-11-13 12:00,12.6,297.3,2,0,,,46.1
571,拳己,2018-11-13 13:00,13.6,304.9,1.8,0,,,39.3
571,拳己,2018-11-13 14:00,13.8,292.6,1.4,0,,,32.9
571,拳己,2018-11-13 15:00,13.9,275.3,1.8,0,,,33.3
571,拳己,2018-11-13 16:00,14,356.5,1.1,0,,,32.8
571,拳己,2018-11-13 17:00,11.3,296,.5,0,,,44.2
571,拳己,2018-11-13 18:00,9.3,277.2,.5,0,,,53.9
571,拳己,2018-11-13 19:00,9.3,323.7,.8,0,,,53.7
571,拳己,2018-11-13 20:00,8.2,29,.7,0,,,60.2
571,拳己,2018-11-13 21:00,7.1,32,.9,0,,,65.9
571,拳己,2018-11-13 22:00,6.6,32.2,1.2,0,,,66.5
571,拳己,2018-11-13 23:00,6.4,30.5,1.5,0,,,67.1
571,拳己,2018-11-14 00:00,5.6,20.8,.6,0,,,71.3
571,拳己,2018-11-14 01:00,5.1,28.5,.6,0,,,72.1
571,拳己,2018-11-14 02:00,4.7,33,1,0,,,73
571,拳己,2018-11-14 03:00,4.1,0,.3,0,,,72.5
571,拳己,2018-11-14 04:00,4.1,32.4,1.3,0,,,74.2
571,拳己,2018-11-14 05:00,3.4,33.8,.5,0,,,76.7
571,拳己,2018-11-14 06:00,3.1,29.9,.9,0,,,77.1
571,拳己,2018-11-14 07:00,3.4,34.6,1.2,0,,,77.8
571,拳己,2018-11-14 08:00,4.3,39.2,1,0,,,76.9
571,拳己,2018-11-14 09:00,7.7,153,.6,0,,,67.9
571,拳己,2018-11-14 10:00,11,195.6,.9,0,,,57.7
571,拳己,2018-11-14 11:00,12.9,213.9,1.2,0,,,51.6
571,拳己,2018-11-14 12:00,14.7,156.2,1.2,0,,,47.7
571,拳己,2018-11-14 13:00,14.6,288.6,.9,0,,,43
571,拳己,2018-11-14 14:00,14.5,63.2,1.5,0,,,43.3
571,拳己,2018-11-14 15:00,15.6,221.7,1.3,0,,,41.8
571,拳己,2018-11-14 16:00,14.4,326.5,1.6,0,,,45.9
571,拳己,2018-11-14 17:00,12.2,0,.3,0,,,53.7
571,拳己,2018-11-14 18:00,10.1,0,.3,0,,,68.1
571,拳己,2018-11-14 19:00,10.7,6.4,.6,0,,,69
571,拳己,2018-11-14 20:00,9.3,30.4,.7,0,,,74.1
571,拳己,2018-11-14 21:00,9.1,26.3,1.1,0,,,73.4
571,拳己,2018-11-14 22:00,8.5,23.9,1.1,0,,,72.7
571,拳己,2018-11-14 23:00,8.2,8.1,.9,0,,,69.7
571,拳己,2018-11-15 00:00,6.2,0,.3,0,,,76.6
571,拳己,2018-11-15 01:00,5.7,0,.2,0,,,81
571,拳己,2018-11-15 02:00,5.7,0,.3,0,,,79.1
571,拳己,2018-11-15 03:00,5.3,0,.2,0,,,79.9
571,拳己,2018-11-15 04:00,4.7,27.8,.9,0,,,82.1
571,拳己,2018-11-15 05:00,4.6,17.4,.7,0,,,83.1
571,拳己,2018-11-15 06:00,4.7,0,.3,0,,,84.4
571,拳己,2018-11-15 07:00,3.8,0,0,0,,,85.6
571,拳己,2018-11-15 08:00,4.5,0,.2,0,,,84.7
571,拳己,2018-11-15 09:00,8.2,0,.2,0,,,70.2
571,拳己,2018-11-15 10:00,10.3,0,.1,0,,,61.5
571,拳己,2018-11-15 11:00,12.8,184.6,1.4,0,,,52.2
571,拳己,2018-11-15 12:00,14.4,213,1.4,0,,,44.8
571,拳己,2018-11-15 13:00,14.9,196.6,1.6,0,,,39.9
571,拳己,2018-11-15 14:00,15.1,189.8,1,0,,,38.4
571,拳己,2018-11-15 15:00,15.8,209,1.2,0,,,36.3
571,拳己,2018-11-15 16:00,14.9,223,2.8,0,,,40
571,拳己,2018-11-15 17:00,13.5,339.2,.9,0,,,48.3
571,拳己,2018-11-15 18:00,11.3,15.4,.8,0,,,58.5
571,拳己,2018-11-15 19:00,10.2,14.4,.9,0,,,63.1
571,拳己,2018-11-15 20:00,9.3,31.2,1.2,0,,,67.1
571,拳己,2018-11-15 21:00,9.1,21.2,1.2,0,,,67.1
571,拳己,2018-11-15 22:00,8.6,11.5,.7,0,,,64.5
571,拳己,2018-11-15 23:00,8.2,21.8,1.3,0,,,68
571,拳己,2018-11-16 00:00,7.8,43.4,.6,0,,,68.8
571,拳己,2018-11-16 01:00,6.9,0,.1,0,,,70.6
571,拳己,2018-11-16 02:00,7.5,11,.5,0,,,69.6
571,拳己,2018-11-16 03:00,7.2,38.6,1.1,0,,,70.5
571,拳己,2018-11-16 04:00,6.3,0,0,0,,,73.5
571,拳己,2018-11-16 05:00,7.2,46.5,1.1,0,,,68.6
571,拳己,2018-11-16 06:00,6.1,0,.4,0,,,75.1
571,拳己,2018-11-16 07:00,6.6,353.6,.5,0,,,75
571,拳己,2018-11-16 08:00,7.3,0,0,0,,,72.6
571,拳己,2018-11-16 09:00,8.3,212.3,.5,0,,,70.1
571,拳己,2018-11-16 10:00,10.6,191,1,0,,,61.1
571,拳己,2018-11-16 11:00,11.6,162.5,.9,0,,,58.2
571,拳己,2018-11-16 12:00,13.3,312.2,1.1,0,,,45.9
571,拳己,2018-11-16 13:00,14.1,303.4,2,0,,,48
571,拳己,2018-11-16 14:00,14,284.1,2.4,0,,,53.7
571,拳己,2018-11-16 15:00,12.3,319.2,.8,0,,,63.5
571,拳己,2018-11-16 16:00,11.3,264.1,1.2,0,,,69.4
571,拳己,2018-11-16 17:00,10.2,273.8,1.8,0,,,68.4
571,拳己,2018-11-16 18:00,9.1,269,1.1,0,,,72.2
571,拳己,2018-11-16 19:00,8.4,0,.4,0,,,77.3
571,拳己,2018-11-16 20:00,8.3,347.6,1.4,0,,,75.5
571,拳己,2018-11-16 21:00,7.2,273.6,.9,0,,,64.3
571,拳己,2018-11-16 22:00,6.5,305.5,.7,0,,,63.4
571,拳己,2018-11-16 23:00,5.9,338.1,1.6,0,,,61.2
571,拳己,2018-11-17 00:00,4.8,0,.4,0,,,63.9
571,拳己,2018-11-17 01:00,4.1,214.6,.7,0,,,62.9
571,拳己,2018-11-17 02:00,3.9,177.1,.6,0,,,63.1
571,拳己,2018-11-17 03:00,3.1,195.6,.7,0,,,65.2
571,拳己,2018-11-17 04:00,2,0,.4,0,,,68
571,拳己,2018-11-17 05:00,1.6,0,.1,0,,,67.6
571,拳己,2018-11-17 06:00,1.8,59.1,.8,0,,,65.4
571,拳己,2018-11-17 07:00,-.3,0,.3,0,,,75.8
